divi_name,divi_name_bn,divi_code
BARISAL DIVISION,,10
CHITTAGONG DIVISION,,20
DHAKA  DIVISION,,30
KHULNA DIVISION,,40
MYMENSINGH DIVISION,,45
RAJSHAHI DIVISION,,50
RANGPUR DIVISION,,55
SYLHET DIVISION,,60
